Customer_ID,Food Dog,Food Cat,Medical treatment Dog,Snacks,Medical,
830024429,671648459,327679426,583247959,14334890,54917990,
860069284,771151187,290339466,416540258,22601701,137390066,
900024852,498528320,268784014,375305763,10059591,115184427,
900167786,405502876,241273561,174701363,11486101,31022272,
800034614,252342194,95201157,113653529,3612150,39696060,
900236066,205626236,95761778,130564432,8275660,21086327,
830119428,192357684,88383905,115857213,2898637,49516765,
860031776,149273547,82382006,147441603,1641310,45144265,
890912426,129937127,62104105,105343075,2579792,69698848,
900488388,172747748,106622712,72421649,2835880,13415750,
890316242,146982883,56381220,107782695,665630,28531150,
830006716,99829769,60007592,68577855,2699145,28347755,
811040726,93838146,62599234,72266129,4640116,16841436,
900675154,99942321,48320459,68522505,1455645,18659090,
890940499,76696382,61514003,39844476,3617169,18641399,
805023762,94093813,50604130,37177137,1653680,11024450,
900748739,68045854,54926983,56232134,2677591,4890030,
811037781,68006154,73520924,17103320,7448295,7058390,
900196587,77289337,31502829,41060100,1329355,12589277,
900160171,57673850,37242594,46830531,1584670,7199887,
1037605832,43438210,62995500,16119412,6874310,9583730,
79159817,65719887,25765706,35120275,553309,1623798,
900459979,56560342,43652108,22462882,1775951,4010427,
900455738,39002720,19045060,45945180,923080,15233380,
811008560,48020970,33617269,19782119,1930158,12470944,
41796641,62692030,38963740,3138272,5361840,3387050,
93399012,56899080,24322748,27375147,312130,4105190,
5913621,44173126,37667594,22678035,1809215,1974296,
830147269,50196144,26233867,16211101,3406200,10539380,
830037737,26392948,7835503,47850508,535500,15886225,
900831539,38196363,34955613,16152132,1253150,7596910,
805016173,39896309,18106782,19425572,609180,19988120,
830102371,46413499,8464877,33321685,834493,7263379,
811038698,34766957,32635357,19863787,4079660,4895990,
900601860,33831490,30761759,18003505,1457753,10076132,
900602130,33864512,31870455,13569466,1143549,10931284,
900860961,51653560,29754410,1420728,3677100,3011400,
79239787,43845980,14124710,22243746,996680,6574760,
900559850,35749220,23422240,21319856,717290,5253565,
832005021,35587338,8618634,27887282,413530,13882010,
80503130,37383905,21868769,22525905,694459,2172327,
79448936,31822490,29332156,16383048,1901353,2630020,
93416828,37827752,24404390,9999989,2957273,4559763,
900761581,36361172,20211190,7544760,593260,14597930,
900395300,42076036,22210732,9674936,947790,4253552,
900646095,40587084,12036981,17134778,398770,8978841,
900610441,37614364,20218777,15252433,189100,5146109,
900854406,38204611,14375350,17270076,575570,6969770,
890102603,25801970,5492421,29772753,194880,15579340,
43413647,19906050,30074470,15397287,5115720,4569620,
45780969,36365272,13495940,21428853,315530,2584260,
830143908,37498289,10817175,16449815,1378123,6841696,
900482571,40059630,12975350,13400288,252000,5938490,
830513430,33323905,14225735,20411536,780843,3863460,
43042241,31612770,33051260,459785,4371250,262530,
21562857,29653080,20278710,12718489,335820,5663390,
900170316,30472273,16456239,15571898,278570,3623223,
900265437,23307098,12687314,8645862,495981,19720569,
900760690,27066449,18159151,14318926,970959,4030205,
1152184013,23611725,25822085,5470275,2469020,7091698,
900813568,24311600,14691140,22901070,92440,1308330,
2889753,19611270,17559736,15033322,626884,6972700,
900492142,23727581,23122604,6470312,1541395,4357180,
900833398,18852958,10121966,19602156,225610,10379500,
98763502,23350120,20613930,10364862,839770,3441190,
52153696,15458320,13016050,22702535,374760,6452590,
52056359,22892000,17924006,8755380,1684280,6231480,
70697734,24754886,18924792,7593573,1713103,3564633,
52149783,24338395,3952008,20336795,90800,6503805,
900328193,16193849,306865,31022004,302640,7333017,
890701760,23076200,10639570,14101019,90720,6953030,
30273980,24889040,9750420,18623989,500760,1022100,
15516471,21888510,11435000,15263212,426450,3919560,
63480591,33900570,12216270,5382946,233520,1116110,
91077449,26927631,10777324,10607870,,3278370,
1082841753,27463300,8125810,9235308,64290,6605710,
52621665,24308713,17964405,4380309,953250,3610370,
900821145,28074589,5561138,11053846,210490,6221060,
830043063,25017169,10257616,11799310,376320,2888563,
43522737,17119162,16714289,10968498,1120276,3253270,
79572097,16690066,9797538,16030322,181500,5373812,
900651817,26885930,12451140,3952727,116370,4625320,
901014406,19748930,14533468,11814230,417313,880640,
900788328,15598778,12009738,15537109,524377,2262318,
79504671,23804150,9051190,9353611,792910,2927440,
32732834,14655890,2899710,21756060,257160,6355580,
20344545,11532687,24721038,5078947,2521200,1707263,
52187519,16602677,13683594,14213516,87024,829110,
900561882,12336856,12987602,3794116,504021,15345869,
43054559,17513257,16970310,5990773,1123310,2996720,
34971962,23617900,8867930,7266175,50400,4506240,
900959284,10804396,16393253,9714599,951862,6036537,
1098806100,20644485,11487100,3447461,46220,8257390,
832001168,17109410,8825588,7892423,490155,9163490,
900935804,16755799,9345672,12988273,218945,3945474,
91158362,21807745,9108024,9647577,396190,1568900,
805028010,18718251,8905200,6443550,189900,8136060,
900693681,15192430,12214960,9536058,786240,4596850,
901038469,23131030,11972130,4143422,861000,1749300,
900451502,14059710,10980810,10757240,554590,5457330,
